idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
250,1,1,1,1,3,4/22/2020 7:00,386
251,1,1,1,1,3,4/22/2020 9:00,386
252,1,2,3,1,6,4/22/2020 12:00,386
253,1,3,3,0,3,4/22/2020 14:00,386
254,1,1,3,2,4,4/24/2020 7:00,386
255,2,1,2,2,6,4/24/2020 8:00,386
256,2,2,2,1,6,4/24/2020 12:00,386
257,1,2,3,2,7,4/24/2020 13:00,386
258,1,1,1,1,3,4/24/2020 7:00,380
259,0,2,3,0,1,4/24/2020 10:00,380
260,0,3,3,0,1,4/24/2020 13:00,380
261,1,2,3,1,3,4/24/2020 15:00,380
262,2,2,3,1,4,4/25/2020 6:00,380
263,2,2,1,1,5,4/25/2020 9:00,380
264,2,3,3,0,4,4/25/2020 11:00,380
265,1,3,3,0,2,4/25/2020 13:00,380
266,1,2,1,1,3,4/26/2020 7:00,380
267,1,2,3,1,4,4/26/2020 8:00,380
268,1,1,3,1,6,4/26/2020 10:00,380
269,1,1,3,1,5,4/26/2020 13:00,380
270,1,1,3,2,6,4/26/2020 15:00,380
271,1,1,3,1,4,4/27/2020 7:00,380
272,1,1,3,1,3,4/27/2020 9:00,380
273,1,2,3,1,3,4/27/2020 12:00,380
274,1,2,3,2,5,4/27/2020 15:00,380
275,1,2,1,1,2,4/28/2020 6:00,380
276,2,3,1,1,3,4/28/2020 9:00,380
277,1,3,3,0,4,4/28/2020 11:00,380
278,1,3,2,0,2,4/28/2020 14:00,380
279,1,2,1,1,4,4/28/2020 17:00,380
280,1,2,3,1,4,4/29/2020 7:00,380
281,1,2,1,1,3,4/29/2020 9:00,380
282,1,3,2,0,2,4/29/2020 11:00,380
283,2,3,3,1,5,4/29/2020 13:00,380
284,1,3,1,0,3,4/29/2020 16:00,380
285,1,1,1,2,4,4/30/2020 6:00,380
286,1,1,2,2,5,4/30/2020 9:00,380
287,1,2,3,2,8,4/30/2020 11:00,380
288,1,1,3,2,7,4/30/2020 15:00,380
289,1,2,3,1,6,4/30/2020 17:00,380
290,1,3,2,0,2,4/25/2020 6:00,386
291,1,3,3,0,3,4/25/2020 10:00,386
292,1,3,1,1,3,4/25/2020 11:00,386
293,1,3,3,1,3,4/25/2020 13:00,386
294,1,3,3,0,2,4/25/2020 16:00,386
295,1,2,2,1,3,4/26/2020 7:00,386
296,1,2,1,1,3,4/26/2020 9:00,386
297,1,2,3,2,6,4/26/2020 12:00,386
298,1,3,1,1,4,4/26/2020 15:00,386
299,1,2,3,2,6,4/26/2020 17:00,386
300,1,1,1,1,3,4/27/2020 6:00,386
301,1,2,2,1,4,4/27/2020 8:00,386
302,1,2,1,1,3,4/27/2020 10:00,386
303,1,2,3,0,2,4/27/2020 11:00,386
304,1,3,3,0,2,4/27/2020 15:00,386
305,1,2,1,0,2,4/28/2020 7:00,386
306,1,3,1,0,1,4/28/2020 8:00,386
307,1,3,1,0,1,4/28/2020 15:00,386
308,2,3,1,0,4,4/28/2020 17:00,386
309,2,3,2,1,4,4/29/2020 7:00,386
310,1,2,2,1,4,4/29/2020 9:00,386
311,2,3,1,0,3,4/29/2020 11:00,386
312,2,3,2,1,5,4/29/2020 15:00,386
313,1,1,3,2,6,4/30/2020 6:00,386
314,1,1,3,2,8,4/30/2020 8:00,386
315,2,1,2,2,9,4/30/2020 10:00,386
316,1,2,3,2,7,4/30/2020 11:00,386
317,1,2,1,1,5,4/30/2020 12:00,386
318,1,2,3,2,6,4/30/2020 14:00,386
319,1,2,1,1,5,4/30/2020 17:00,386
320,1,1,3,2,3,5/2/2020 7:00,386
